Title="Input data for auralization"
Variables="Freq","Level"
##########################################
# retarded time	=      4.6907
# source time	=      0.1000
# speed of sound=    342.2432
# xpos	=  -1484.1000
# ypos	=      0.1000
# alt	=    516.9000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     17.0955
# phiy  =      0.0000
# dist  =   1571.1459
# distxy=   1484.1000
# vel   =     74.8000
# n1    =     50.8310
##########################################
ZONE T="time=        4.69 airframe broadband" I=31 F=POINT
ZONE T="time=        5.48 engine buzzsaw noise" I=31 F=POINT
     25.3002      4.0103
     31.6253      4.0103
     39.8478      4.0103
     50.6004      4.0103
     63.2505      4.0103
     79.6957      4.0103
    101.2008      4.0103
    126.5011      4.0103
    158.1263      4.0103
    202.4017      4.0103
    253.0021      4.0103
    316.2526      4.0103
    398.4783      4.0103
    506.0042      4.0103
    632.5053      4.0103
    796.9566      4.0103
   1012.0084      4.0103
   1265.0105      4.0103
   1581.2632      4.0103
   2024.0169      4.0103
   2530.0211      4.0103
   3162.5263      4.0103
   3984.7832      4.0103
   5060.0422      4.0103
   6325.0527      4.0103
   7969.5664      4.0103
  10120.0843      4.0103
  12650.1054      4.0103
  15812.6317      4.0103
  20240.1686      4.0103
  25300.2108      4.0103
ZONE T="time=        5.48  fan harmonics" I=5 F=POINT
   1928.0223    117.1638
   3856.0446    117.9449
   5784.0669    107.4192
   7712.0892    101.4192
   9640.1115     95.4192
##########################################
# retarded time	=      5.5545
# source time	=      1.2000
# speed of sound=    342.2527
# xpos	=  -1400.1000
# ypos	=      0.1000
# alt	=    511.9000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     17.7790
# phiy  =      0.0000
# dist  =   1490.3337
# distxy=   1400.1000
# vel   =     74.8000
# n1    =     50.8233
##########################################
